	ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4	Date
0	400000	101	S	4	41	52582.0	19.23	459.835	38.081498	-122.547963	0.415	ML	4	N of 37 / 101 Interchange	DT5A2	L4-S-27-101-01923	101482	424150	2013_12_13
1	400001	101	N	4	85	68000.0	38.26	387.897	37.364085	-121.901149	0.445	ML	5	NB 880 RM-N-CONN	DT697	L5-N-37-101-03826	998145	426518	2013_12_13
2	400002	101	S	4	81	68252.0	14.67	416.893	37.584097	-122.328465	0.31	ML	5	Peninsula Ave OC	DT243	L5-S-35-101-01467	106296	426945	2013_12_13
3	400006	880	S	4	1	81204.0	13.54	23.767	37.605003	-122.065542	0.34	ML	4	Whipple Rd rm-s-diag	DTA20	L4-S-33-880-01354	998415	421858	2013_12_13
4	400007	101	N	4	81	68252.0	15.25	417.437	37.586936	-122.337721	0.365	ML	5	2000' N of Pennisula Ave	DT275	L5-N-35-101-01525	999325	426427	2013_12_13
2750	400009	80	W	4	1	6000.0	5.7	11.01	37.864883	-122.303345	0.3	ML	5	oppo University Ave off-e-diag	DT321	L5-W-33-080-00570	997005	427288	2014_02_21
5	400009	80	W	4	1	6000.0	5.7	11.01	37.864883	-122.303345	0.3	ML	5	UNIVERSITY AVE  ON-W-LOOP	DT321	L5-W-33-080-00570	997005	427288	2013_12_13
6	400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	0.45	ML	4	San Bruno Ave rm-s-diag	DT292	L4-N-35-101-01984	106341	422356	2013_12_13
3977	400010	101	N	4	81		20.27	422.457	37.629765	-122.402365	0.47	ML	4	San Bruno Ave off-n-diag	DT1A9	L4-N-35-101-01984	106341	422356	2014_03_07
2751	400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	0.45	ML	4	San Bruno Ave rm-s-diag	DT292	L4-N-35-101-01984	106341	422356	2014_02_21
7	400011	101	S	4	41	52582.0	16.15	456.755	38.041862	-122.536533	0.225	ML	5	2600' N of Miller Creek Rd	DT556	L5-S-27-101-01615	103468	426595	2013_12_13
2752	400014	101	N	4	85	68000.0	27.22	376.491	37.245818	-121.775473	0.29	ML	5	Bernal rd  rm-n-diag	DT770	L5-N-37-101-02722	998217	422542	2014_02_21
8	400014	101	N	4	85	68000.0	27.22	376.491	37.245818	-121.775473	0.29	ML	5	Bernal rd  rm-n-diag	DT770	L4-N-37-101-02722	998217	422542	2013_12_13
9	400015	84	W	4	1	26000.0	3.09	33.15	37.534901	-122.076575	0.875	ML	3	2200' W OF TOLL PLAZA	DT817	L3-W-33-084-00309	184106	418841	2013_12_13
10	400017	85	S	4	85	68000.0	10.07	10.07	37.253303	-121.94544	0.43	ML	4	BASCOM AVE	DT551	L4-S-37-085-01007	998071	419898	2013_12_13
11	400025	680	N	4	13	83346.0	13.7	45.201	37.891953	-122.062776	0.37	ML	5	NEWELL AVE	DT542	L5-N-28-680-01370	682267	423448	2013_12_13
12	400026	580	E	4	1	53000.0	43.47	59.403	37.809611	-122.246363	0.47	ML	4	Lakeshore Ave on-e-diag	DT109	L4-E-33-580-04347	580246	420378	2013_12_13
13	400027	80	E	4	13	60620.0	1.24	14.573	37.914241	-122.317388	0.21	ML	4	E of Carlson Blvd	DTA13	L4-E-28-080-00124	802167	420138	2013_12_13
14	400028	280	N	4	81	73262.0	22.96	45.5	37.649733	-122.451962	0.2	ML	4	Westborough Blvd	DT006	L4-N-35-280-02296	280251	422440	2013_12_13
15	400030	880	S	4	85	68000.0	3.64	3.64	37.359087	-121.906538	0.25	ML	3	N FIRST ST	DT969	L3-S-37-880-00364	880130	421412	2013_12_13
16	400031	580	W	4	1	53000.0	40.11	56.34	37.787056	-122.196191	0.847	ML	4	EB High St. off ramp	DT105	L4-W-33-580-04011	580235	422950	2013_12_13
17	400037	680	S	4	13	57764.0	17.58	49.081	37.943413	-122.05914	0.215	ML	6	Monument Blvd rm-s-diag	DT740	L6-S-28-680-01758	998199	423690	2013_12_13
18	400038	880	S	4	1	33000.0	14.95	25.177	37.622701	-122.078223	0.48	ML	5	2200' N OF INDUSTRIAL PKWY	DT388	L5-S-33-880-01495	881222	426770	2013_12_13
3978	400039	101	N	4	81		20.78	422.967	37.637025	-122.404035	0.195	ML	4	SFIA/San Bruno Ave	DT1A3	L4-N-35-101-02078	101349	422368	2014_03_07
2753	400039	101	N	4	81		20.64	422.827	37.635096	-122.403232	0.13	ML	4	San Bruno Ave rm-n-diag	DT903	L4-N-35-101-02064	101349	422368	2014_02_21
19	400039	101	N	4	81		20.64	422.827	37.635096	-122.403232	0.13	ML	4	San Bruno Ave rm-n-diag	DT903	L4-N-35-101-02064	101349	422368	2013_12_13
20	400040	87	S	4	85	68000.0	2.87	2.87	37.294625	-121.873166	0.205	ML	2	Curtner Ave rm-s-loop	DT643	L2-S-37-087-00287	87114	417982	2013_12_13
21	400041	880	N	4	1	33000.0	15.8	26.027	37.633535	-122.085656	0.97	ML	4	TENNYSON RD	DTA24	L4-N-33-880-01580	998425	424744	2013_12_13
22	400043	101	S	4	75	67000.0	3.3	431.63	37.753591	-122.403092	0.46	ML	4	25th St POC	DT232	L4-S-34-101-00330	999360	422062	2013_12_13
23	400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506	680316	417100	2013_12_13
2754	400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506	680316	417100	2014_02_21
3979	400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506	680316	417100	2014_03_07
24	400045	880	N	4	85	68000.0	4.02	4.02	37.363402	-121.902233	0.31	ML	3	SB 101	DT974	L3-N-37-880-00402	998313	421007	2013_12_13
25	400048	24	E	4	13	54232.0	1.15	5.498	37.86726	-122.199105	1.228	ML	4	Gateway Blvd on-e-diag	DT428	L4-E-28-024-00115	124125	418325	2013_12_13
26	400049	4	E	4	13		17.12	16.959	38.015319	-121.992996	0.9	ML	3	Willow Pass rd  rm-e-diag	DT864	L3-E-28-004-01712	998505	418214	2013_12_13
3980	400049	4	E	4	13		17.12	16.959	38.015319	-121.992996	0.9	ML	3	Willow Pass rd  rm-e-diag	DT864	L3-E-28-004-01712	998505	418214	2014_03_07
2755	400049	4	E	4	13		17.12	16.959	38.015319	-121.992996	0.9	ML	3	Willow Pass rd  rm-e-diag	DT864	L3-E-28-004-01712	998505	418214	2014_02_21
2756	400050	238	N	4	1		15.41	15.233	37.688984	-122.114253	0.335	ML	3	KENT ST	DT144	L3-N-33-238-01541	238107	420687	2014_02_21
27	400050	238	N	4	1		15.41	15.233	37.688984	-122.114253	0.335	ML	3	KENT ST	DT144	L3-N-33-238-01541	238107	420687	2013_12_13
3981	400050	238	N	4	1		15.41	15.233	37.688984	-122.114253	0.335	ML	3	KENT ST	DT144	L3-N-33-238-01541	238107	420687	2014_03_07
28	400052	85	N	4	85	68000.0	6.14	6.14	37.255791	-121.875479	0.555	ML	3	ALMADEN EXPWY	DT490	L3-N-37-085-00614	998057	420822	2013_12_13
29	400053	680	S	4	13		11.22	42.612	37.862379	-122.034414	0.295	ML	4	Livorna Rd on-s-diag	DT265	L4-S-28-680-01122	999057	421522	2013_12_13
2757	400053	680	S	4	13		11.22	42.612	37.862379	-122.034414	0.295	ML	4	Livorna Rd on-s-diag	DT265	L4-S-28-680-01122	999057	421522	2014_02_21
3982	400053	680	S	4	13		11.22	42.612	37.862379	-122.034414	0.295	ML	4	Livorna Rd on-s-diag	DT265	L4-S-28-680-01122	999057	421522	2014_03_07
30	400057	880	N	4	85	68000.0	1.33	1.33	37.335022	-121.935522	0.735	ML	3	BASCOM AVE  RM-ON-DIAG	DT960	L3-N-37-880-00133	880111	420987	2013_12_13
31	400059	85	S	4	85	68000.0	7.97	7.97	37.250481	-121.907735	1.005	ML	3	Camden Ave rm-s-diag	DT529	L3-S-37-085-00797	998063	421242	2013_12_13
